"","x"
"1174",1630
"1175",345
"1176",2325
"1177",2200
"1178",1300
"1179",1250
"1180",600
"1181",430
"1182",1225
"1183",1430
"1184",1135
"1185",1430
"1186",1230
"1187",1200
"1188",800
"1189",2040
"1190",1700
"1191",1610
"1192",2110
"1193",2315
"1194",2100
"1195",1945
"1196",900
"1197",2025
"1198",1030
"1199",1200
"1200",1115
"1201",1400
"1202",1248
"1203",1900
"1204",1430
"1205",120
"1206",1400
"1207",140
"1208",800
"1209",1815
"1210",1610
"1211",530
"1212",430
"1213",100
"1214",1100
"1215",810
"1216",330
"1217",1840
"1218",1200
"1219",1100
"1220",1030
"1221",600
"1222",1500
"1223",630
"1224",745
"1225",2130
"1226",1620
"1227",1430
"1228",130
"1229",600
"1230",230
"1231",2230
"1232",2100
"1233",2140
"1234",1400
"1235",1200
"1236",2330
"1237",2130
"1238",600
"1239",1545
"1240",200
"1241",1500
"1242",254
"1243",1100
"1244",630
"1245",1440
"1246",1800
"1247",100
"1248",1300
"1249",2200
"1250",2230
"1251",1500
"1252",1520
"1253",1400
"1254",1330
"1255",1500
"1256",1300
"1257",1100
"1258",2315
"1259",2200
"1260",1330
"1261",1220
"1262",15
"1263",1300
"1264",1430
"1265",200
"1266",1
"1267",245
"1268",1200
"1269",1500
"1270",1800
"1271",2000
"1272",1200
"1273",1
"1274",1600
"1275",435
"1276",2055
"1277",2250
"1278",15
"1279",630
"1280",1700
"1281",200
"1282",1930
"1283",1830
"1284",1930
"1285",230
"1286",2200
"1287",645
"1288",1900
"1289",1800
"1290",1205
"1291",1600
"1292",1200
"1293",1300
"1294",130
"1295",1630
"1296",1800
"1297",200
"1298",2210
"1299",2000
"1300",2000
"1301",530
"1302",15
"1303",1200
"1304",1930
"1305",1900
"1306",1945
"1307",1200
"1308",2100
"1309",130
"1310",215
"1311",2045
"1312",700
"1313",500
"1314",1300
"1315",1420
"1316",200
"1317",830
"1318",800
"1319",200
"1320",200
"1321",2000
"1322",2000
"1323",1940
"1324",130
"1325",1
"1326",1200
"1327",2100
"1328",800
"1329",930
"1330",115
"1331",200
"1332",1050
"1333",1515
"1334",2300
"1335",200
"1336",2130
"1337",1200
"1338",2100
"1339",1115
"1340",1535
"1341",200
"1342",115
